code,name,boards,hist_cur_pe,pe_pct,pe_lo,pe_median,pe_hi,n_points,change_pct,mktcap_yi
002850,科达利,机器人概念,27.7,26.0,14.17,43.24,121.41,678,-1.11,50352237707.0
603166,福达股份,机器人概念,27.72,26.1,15.99,32.42,261.55,731,-3.85,8703370775.0
300836,佰奥智能,机器人概念,64.81,27.2,29.37,109.98,9463.06,644,3.23,6523213232.0
601966,玲珑轮胎,机器人概念,16.72,27.2,10.21,20.8,445.76,725,-0.84,17327871767.0
600587,新华医疗,机器人概念,15.94,27.4,7.75,19.35,317.79,694,-1.01,7728651554.0
301367,瑞迈特,机器人概念,28.13,27.5,13.7,36.08,70.14,1315,-0.58,5374698830.0
600335,国机汽车,机器人概念,19.09,28.0,10.85,23.98,239.76,731,-0.75,7838897821.0
002708,光洋股份,机器人概念,78.83,28.5,37.1,105.29,390.65,439,-3.51,8184146400.0
688556,高测股份,机器人概念,12.33,28.6,4.18,37.89,122.16,833,3.75,8955743009.0
688277,天智航-U,机器人概念,10.13,28.8,9.01,10.93,14.12,59,2.44,7833943144.0
688333,铂力特,机器人概念,101.58,29.0,48.39,130.62,1123.36,714,-1.1,23660287508.0
002402,和而泰,机器人概念,33.61,29.1,20.79,42.02,118.38,731,0.33,22392195011.0
002553,南方精工,机器人概念,25.61,29.6,7.75,41.2,1201.42,679,1.3,6598157960.0
002265,建设工业,机器人概念,86.8,30.3,20.96,231.07,2621.95,466,0.72,20350896018.0
600998,九州通,机器人概念,11.97,30.4,6.84,14.2,52.09,731,-1.04,23901308909.0
002226,江南化工,机器人概念,18.14,30.5,9.46,21.34,440.23,731,-0.78,13430038875.0
001298,好上好,机器人概念,73.9,31.2,21.32,101.3,277.62,1316,1.04,8784359888.0
601677,明泰铝业,机器人概念,9.88,31.5,5.95,11.09,45.1,731,-3.12,21264254022.0
300748,金力永磁,机器人概念,54.42,31.6,28.69,70.29,195.7,705,1.06,40579884262.0
002594,比亚迪,机器人概念,30.18,31.6,16.95,40.96,282.6,731,-0.88,824103487900.0
603194,中力股份,机器人概念,16.87,32.7,14.55,17.94,26.05,532,-0.42,14267580000.0
600008,首创环保,机器人概念,12.5,33.7,5.63,16.45,65.73,731,0.0,22535613378.0
600312,平高电气,机器人概念,21.32,33.8,13.77,28.35,146.96,731,0.6,25225167134.0
603583,捷昌驱动,机器人概念,29.78,34.2,18.39,34.05,80.81,705,-1.66,9814013095.0
600499,科达制造,机器人概念,18.14,34.6,5.59,20.98,830.19,642,-0.2,28039060436.0
002044,美年健康,机器人概念,66.21,34.9,26.88,72.44,383.03,585,0.39,20314977860.0
601226,华电科工,机器人概念,44.22,35.0,17.45,59.61,175.28,658,-0.28,8240166033.0
603298,杭叉集团,机器人概念,14.49,35.0,10.76,15.81,50.5,691,-1.95,31645059104.0
688408,中信博,机器人概念,31.57,35.3,15.52,55.31,498.66,852,1.54,6628933710.0
300018,中元股份,机器人概念,41.26,35.7,20.14,47.07,302.05,656,0.58,5898736170.0
002475,立讯精密,机器人概念,28.02,36.5,15.77,33.13,81.55,731,1.03,486849598352.0
600060,海信视像,机器人概念,13.52,36.7,10.03,14.39,109.48,731,-3.68,32428560512.0
688151,华强科技,机器人概念,119.59,37.0,22.15,480.45,2521.34,1526,-0.24,5642910000.0
603901,永创智能,机器人概念,37.62,37.0,18.98,42.78,612.91,695,1.0,6378916903.0
300293,蓝英装备,机器人概念,137.92,38.9,68.1,153.05,821.35,221,3.01,6030967049.0
688508,XD芯朋微,机器人概念,65.31,39.7,28.82,74.22,246.36,1074,12.56,11618561158.0
301029,怡合达,机器人概念,35.89,39.8,18.4,38.47,142.32,891,-0.14,18613849597.0
301327,华宝新能,机器人概念,50.25,40.2,26.96,53.86,236.1,946,0.57,9226517546.0
688114,华大智造,机器人概念,21.43,40.6,17.29,22.5,136.43,414,-3.37,18993136668.0
600528,中铁工业,机器人概念,11.48,40.6,8.28,12.35,246.8,731,-0.14,15684154211.0
300223,北京君正,机器人概念,116.19,40.6,30.66,189.49,5465.96,731,-0.31,71969257810.0
688116,天奈科技,机器人概念,61.45,41.4,20.78,67.43,280.2,817,0.53,13964871143.0
603638,艾迪精密,机器人概念,44.21,41.5,23.69,46.03,106.52,686,0.76,20227547773.0
300458,全志科技,机器人概念,80.8,41.7,23.72,89.03,767.96,695,1.74,30713330458.0
002176,江特电机,机器人概念,57.18,41.8,8.86,65.74,869.45,426,-0.19,18104114414.0
002472,双环传动,机器人概念,30.15,42.1,14.54,33.35,837.35,701,-1.53,37686095375.0
603507,振江股份,机器人概念,31.98,42.3,13.14,35.3,2988.21,785,0.4,6463446836.0
600100,同方股份,机器人概念,40.65,42.4,6.82,70.58,2254.52,210,0.0,24356664374.0
300919,中伟新材,机器人概念,26.19,42.9,12.85,34.9,190.2,997,0.92,47964522545.0
688818,电科蓝天,机器人概念,327.56,42.9,277.53,331.53,427.66,119,-5.16,116269685197.0
300221,银禧科技,机器人概念,50.94,43.4,15.71,53.77,329.65,565,13.89,7613237788.0
600388,龙净环保,机器人概念,17.78,44.5,9.79,18.62,32.76,731,1.77,21197072630.0
300790,宇瞳光学,机器人概念,44.25,44.6,23.05,45.51,143.58,818,1.44,11402158361.0
002276,万马股份,机器人概念,35.05,44.9,11.8,38.01,82.86,731,-1.23,11374598768.0
300903,科翔股份,机器人概念,66.37,45.3,37.38,69.54,157.48,450,4.38,30268073860.0
002010,传化智联,机器人概念,20.54,45.3,6.65,22.09,163.82,731,-0.41,13460830522.0
300975,商络电子,机器人概念,54.66,45.7,17.27,60.01,262.32,938,2.52,29300789011.0
605056,咸亨国际,机器人概念,29.04,46.1,23.28,30.0,62.56,893,0.96,7741625412.0
600549,厦门钨业,机器人概念,31.16,46.2,12.4,35.27,184.25,686,5.46,99398748566.0
688248,南网科技,机器人概念,66.43,46.5,40.53,68.42,222.53,1629,-0.74,27246775000.0
