==============================================================================
【BK0917】PE 历史分位扫描 (近十年) — 按分位升序
共 214 只,有效估值 212 只,分位<= 100.0% 命中 212 只
扫描时间: 2026-06-09 11:42 BJT
==============================================================================
代码      名称            当前PE    历史分位      区间低       中位       区间高     今日%      市值亿
688352  颀中科技          58.7   72.5%     24.0     50.4      80.8   3.84%      231
300353  东土科技         144.3   73.1%     16.7     59.3     391.6   1.37%      136
300037  新宙邦           41.0   73.3%     15.2     31.5      98.2   2.53%      566
300751  迈为股份          84.8   74.0%     20.4     51.3     179.7   1.66%      584
300576  容大感光         132.2   74.0%     28.5    109.7     311.4  10.99%      162
002407  多氟多           76.5   74.1%     11.1     40.3     534.1  -4.10%      384
002185  华天科技          68.4   74.3%     18.2     43.6     223.3   4.11%      581
002745  木林森           59.4   74.7%     11.7     35.1     109.2  -0.41%      144
605111  新洁能           61.6   75.2%     25.6     38.7     179.4   3.64%      243
688401  路维光电          48.8   75.3%     22.3     39.5      95.7   6.03%      140
688392  骄成超声         120.0   76.3%     48.2     91.9     587.0   7.15%      185
688048  长光华芯        1744.9   76.4%     73.1    139.0    6460.4   3.07%      607
600171  上海贝岭          84.6   76.8%     14.7     61.3     327.7   1.64%      189
605090  九丰能源          18.1   77.1%      9.2     14.1      26.2  -0.83%      253
688200  华峰测控         104.2   78.5%     29.3     60.7     217.0   4.10%      617
688147  微导纳米         246.3   79.3%     34.4     72.3     825.0   7.03%      412
300054  鼎龙股份          74.4   79.5%     16.2     57.5     379.6   5.72%      653
688082  盛美上海          94.5   80.0%     33.5     54.1     268.1   7.96%     1280
688347  华虹宏力         753.0   80.1%     18.2    104.3    5253.1   4.68%     3889
688396  华润微           91.6   80.5%     24.1     63.6     146.4   5.88%      880
688709  成都华微         307.0   81.8%     32.4    128.8     428.3   1.38%      201
600104  上汽集团          13.0   81.9%      7.2     10.6     209.5  -1.57%     1298
000519  中兵红箭         114.4   82.2%     19.3     49.8     582.8   1.46%      262
000062  深圳华强          57.5   82.5%     12.6     23.8     129.2   2.25%      328
300655  晶瑞电材         138.2   83.2%     34.6     78.0     327.0   4.78%      163
688981  中芯国际         193.6   84.0%     24.6     93.6     313.3   3.51%    10113
688233  XD神工股        141.1   84.3%     31.2     68.8     293.5  13.03%      157
002655  共达电声         224.4   84.7%     35.8     80.5     378.8   0.73%      130
002516  旷达科技          44.3   84.8%     11.8     32.5      58.9  -0.51%       86
002079  苏州固锝          85.7   84.8%     24.9     57.0     264.9   3.23%      108
688593  新相微         1179.2   85.2%     66.1    346.7    1962.8  -0.41%      144
301013  利和兴          216.5   85.3%     54.4     97.4     532.4   7.20%      127
688610  埃科光电         175.6   85.3%     66.5    113.2     282.5  11.47%      154
300322  硕贝德          217.2   85.5%      3.1    101.6     444.2   1.96%      134
002975  博杰股份         106.4   85.7%     19.6     38.9     417.7   4.77%      260
002171  楚江新材          54.9   85.8%     11.2     31.8     144.2   0.23%      215
600641  先导基电         124.1   86.1%      4.0     40.8     196.3   8.34%      252
300303  聚飞光电          48.2   86.2%     17.2     29.8      76.5  -4.32%      132
300400  劲拓股份          95.0   86.5%     22.1     55.7     166.0   5.87%       85
688549  中巨芯-U       2960.1   86.6%      1.0    990.6    9999.7  13.50%      322
688079  美迪凯         1791.5   86.6%     41.3     56.0    2483.8  -4.00%      113
688691  灿芯股份         118.2   86.6%     27.9     47.6     181.8   5.46%      115
002046  国机精工         198.9   87.2%     16.6     54.0     437.2   0.75%      326
300260  新莱应材         141.9   87.3%     24.8     61.4    5195.6  15.82%      291
002028  思源电气          42.7   87.6%     15.0     27.5      65.8   1.45%     1410
300296  利亚德           77.8   88.5%     10.0     40.4    3457.3  -0.70%      191
603163  圣晖集成          59.0   88.8%     17.0     23.9     107.2  10.01%      107
002119  康强电子          78.2   88.9%     19.1     55.9    1457.3   2.65%       93
300323  华灿光电         275.9   88.9%     10.6     63.9     669.1  -0.84%      269
688720  艾森股份         145.3   88.9%     69.7    108.4     183.0   8.73%       84
301369  联动科技         444.0   89.4%     26.1    147.0     555.5   3.74%      182
600895  张江高科          60.0   89.6%      9.8     35.5      79.2   4.13%      484
600667  太极实业          68.0   90.0%     14.1     28.6     264.0   2.14%      319
688234  天岳先进        1218.3   90.0%    123.4    406.1    2274.5  10.07%      649
688035  德邦科技          91.3   90.4%     32.0     64.5     126.1   5.86%      111
688249  晶合集成         123.5   90.6%     26.5     83.2     154.1   4.36%      798
688548  广钢气体         109.5   90.8%     31.5     51.1     142.9   2.40%      360
600877  电科芯片         530.6   91.4%     14.7     81.2    1412.1   1.27%      160
688261  东微半导         199.1   91.4%     21.2     83.7     284.9   7.06%       94
301071  力量钻石         140.8   91.7%     15.1     43.5     192.3   0.23%      184
300820  英杰电气          65.4   92.2%     17.2     46.0      94.6   3.62%      141
300102  乾照光电         182.9   92.2%      1.1     44.4     288.6  -0.73%      211
688652  京仪装备         130.8   92.2%     49.3     69.7     181.6   5.27%      218
301611  珂玛科技         179.4   93.4%     63.0     98.7     220.2   9.54%      487
