==============================================================================
【机器人概念】PE 历史分位扫描 (近十年) — 按分位升序
共 461 只,有效估值 455 只,分位<= 100.0% 命中 455 只
扫描时间: 2026-06-09 11:14 BJT
==============================================================================
代码      名称            当前PE    历史分位      区间低       中位       区间高     今日%      市值亿
002402  和而泰           33.6   29.1%     20.8     42.0     118.4   0.33%      224
002553  南方精工          25.6   29.6%      7.8     41.2    1201.4   1.30%       66
002265  建设工业          86.8   30.3%     21.0    231.1    2621.9   0.72%      204
600998  九州通           12.0   30.4%      6.8     14.2      52.1  -1.04%      239
002226  江南化工          18.1   30.5%      9.5     21.3     440.2  -0.78%      134
001298  好上好           73.9   31.2%     21.3    101.3     277.6   1.04%       88
601677  明泰铝业           9.9   31.5%      6.0     11.1      45.1  -3.12%      213
300748  金力永磁          54.4   31.6%     28.7     70.3     195.7   1.06%      406
002594  比亚迪           30.2   31.6%     16.9     41.0     282.6  -0.88%     8241
603194  中力股份          16.9   32.7%     14.6     17.9      26.1  -0.42%      143
600008  首创环保          12.5   33.7%      5.6     16.4      65.7   0.00%      225
600312  平高电气          21.3   33.8%     13.8     28.4     147.0   0.60%      252
603583  捷昌驱动          29.8   34.2%     18.4     34.0      80.8  -1.66%       98
600499  科达制造          18.1   34.6%      5.6     21.0     830.2  -0.20%      280
002044  美年健康          66.2   34.9%     26.9     72.4     383.0   0.39%      203
601226  华电科工          44.2   35.0%     17.4     59.6     175.3  -0.28%       82
603298  杭叉集团          14.5   35.0%     10.8     15.8      50.5  -1.95%      316
688408  中信博           31.6   35.3%     15.5     55.3     498.7   1.54%       66
300018  中元股份          41.3   35.7%     20.1     47.1     302.1   0.58%       59
002475  立讯精密          28.0   36.5%     15.8     33.1      81.5   1.03%     4868
600060  海信视像          13.5   36.7%     10.0     14.4     109.5  -3.68%      324
688151  华强科技         119.6   37.0%     22.1    480.4    2521.3  -0.24%       56
603901  永创智能          37.6   37.0%     19.0     42.8     612.9   1.00%       64
300293  蓝英装备         137.9   38.9%     68.1    153.1     821.4   3.01%       60
688508  XD芯朋微         65.3   39.7%     28.8     74.2     246.4  12.56%      116
301029  怡合达           35.9   39.8%     18.4     38.5     142.3  -0.14%      186
301327  华宝新能          50.2   40.2%     27.0     53.9     236.1   0.57%       92
688114  华大智造          21.4   40.6%     17.3     22.5     136.4  -3.37%      190
600528  中铁工业          11.5   40.6%      8.3     12.3     246.8  -0.14%      157
300223  北京君正         116.2   40.6%     30.7    189.5    5466.0  -0.31%      720
688116  天奈科技          61.5   41.4%     20.8     67.4     280.2   0.53%      140
603638  艾迪精密          44.2   41.5%     23.7     46.0     106.5   0.76%      202
300458  全志科技          80.8   41.7%     23.7     89.0     768.0   1.74%      307
002176  江特电机          57.2   41.8%      8.9     65.7     869.5  -0.19%      181
002472  双环传动          30.1   42.1%     14.5     33.4     837.4  -1.53%      377
603507  振江股份          32.0   42.3%     13.1     35.3    2988.2   0.40%       65
600100  同方股份          40.6   42.4%      6.8     70.6    2254.5   0.00%      244
300919  中伟新材          26.2   42.9%     12.8     34.9     190.2   0.92%      480
688818  电科蓝天         327.6   42.9%    277.5    331.5     427.7  -5.16%     1163
