code,name,boards,hist_cur_pe,pe_pct,pe_lo,pe_median,pe_hi,n_points,change_pct,mktcap_yi
603776,永安行,BK1137,120.64,91.9,4.71,10.57,150.91,518,1.61,5480446365.0
688652,京仪装备,BK1137,130.8,92.2,49.3,69.72,181.61,923,5.27,21823200000.0
301563,云汉芯城,BK1137,125.13,92.9,73.23,91.84,150.47,252,2.91,16743953558.0
688627,精智达,BK1137,367.07,93.2,29.68,85.31,430.58,1057,4.44,36876586893.0
688385,复旦微电,BK1137,176.73,93.3,22.99,67.84,308.02,885,2.86,44439653538.0
688478,晶升股份,BK1137,431.23,93.8,32.11,92.25,516.61,920,9.81,8257688609.0
688328,深科达,BK1137,160.61,94.4,25.81,40.99,199.45,411,3.81,6199166641.0
001389,广合科技,BK1137,71.05,95.4,24.51,36.95,80.1,798,5.69,87703294551.0
002183,怡 亚 通,BK1137,192.7,96.9,17.51,58.24,337.98,678,-3.28,16075486273.0
002579,中京电子,BK1137,392.87,97.0,23.43,45.75,2136.68,525,-2.02,10095954858.0
688135,利扬芯片,BK1137,4273.62,97.1,32.09,99.87,5653.42,714,3.41,7981478940.0
000818,航锦科技,BK1137,198.72,97.7,10.73,54.96,358.56,649,0.08,8533800504.0
300316,晶盛机电,BK1137,144.61,98.1,6.37,43.55,174.1,731,8.24,64861208965.0
300053,航宇微,BK1137,211.18,98.2,44.46,77.24,267.89,381,-2.06,11575082505.0
002213,大为股份,BK1137,4457.5,98.3,116.87,346.07,5410.43,474,2.9,8687198374.0
300672,国科微,BK1137,998.18,98.4,22.95,117.78,1226.36,773,1.53,60990591840.0
688611,杭州柯林,BK1137,223.57,98.7,19.68,50.19,245.31,891,1.53,11166762880.0
300131,英唐智控,BK1137,1360.22,98.7,20.21,97.14,1991.29,696,2.87,18296514098.0
688596,正帆科技,BK1137,146.29,98.7,17.23,32.59,190.87,1060,17.05,13062398523.0
688170,德龙激光,BK1137,466.41,98.7,30.62,84.21,566.46,1136,2.17,7999030400.0
002916,深南电路,BK1137,69.28,98.7,18.91,37.54,80.33,775,5.74,266240775322.0
300567,精测电子,BK1137,570.82,99.2,20.31,67.1,627.0,625,3.62,51537605948.0
301379,天山电子,BK1137,53.12,99.3,14.38,25.3,59.39,1315,-0.79,6632946184.0
688432,有研硅,BK1137,116.9,99.3,34.17,58.51,126.94,1306,13.27,27856725396.0
603688,石英股份,BK1137,267.89,99.5,2.9,45.66,294.0,731,5.39,38778748710.0
300455,航天智装,BK1137,198.3,99.7,35.31,65.47,203.58,673,0.32,15819605309.0
688403,汇成股份,BK1137,219.83,99.7,28.03,50.91,220.03,1390,5.87,23584328470.0
603938,XD三孚股,BK1137,216.71,99.9,10.49,33.96,216.71,817,0.25,20011261193.0
