COLS: ['选项', '指标', '20260331', '20251231', '20250930', '20250630', '20250331', '20241231', '20240930', '20240630', '20240331', '20231231', '20230930', '20230630', '20230331', '20221231', '20220930', '20220630', '20220331', '20211231', '20210930', '20210630', '20210331', '20201231', '20200930', '20200630', '20200331', '20191231', '20190930', '20190630', '20190331', '20181231', '20180930', '20180630', '20180331', '20171231', '20170930', '20170630', '20170331', '20161231', '20160930', '20160630', '20160331', '20151231', '20150930', '20150630', '20150331', '20141231', '20140930', '20140630', '20140331', '20131231', '20121231', '20111231']

      选项                  指标      20260331      20251231      20250930      20250630      20250331      20241231      20240930      20240630      20240331      20231231      20230930      20230630      20230331      20221231      20220930      20220630      20220331      20211231      20210930      20210630      20210331      20201231      20200930      20200630      20200331      20191231      20190930      20190630      20190331      20181231      20180930      20180630      20180331      20171231      20170930      20170630      20170331      20161231      20160930      20160630      20160331      20151231      20150930      20150630      20150331      20141231      20140930      20140630      20140331      20131231      20121231      20111231
8   常用指标              基本每股收益  2.100000e-01  6.400000e-01  5.400000e-01  3.600000e-01  1.500000e-01  5.300000e-01  4.400000e-01  2.900000e-01  1.300000e-01  3.700000e-01  2.600000e-01  1.600000e-01  8.000000e-02  3.900000e-01  3.600000e-01  2.000000e-01  9.000000e-02  3.900000e-01  3.200000e-01  2.200000e-01  8.000000e-02  2.300000e-01  1.300000e-01  8.000000e-02  4.000000e-02  2.800000e-01  2.300000e-01  1.800000e-01  7.000000e-02  4.000000e-01  3.500000e-01  2.700000e-01  1.100000e-01  4.400000e-01  3.200000e-01  2.800000e-01  1.300000e-01  5.300000e-01  3.600000e-01  2.700000e-01  1.100000e-01  4.300000e-01  3.500000e-01  2.500000e-01  1.100000e-01  5.500000e-01  4.700000e-01  3.200000e-01  1.700000e-01  6.800000e-01  4.300000e-01  7.300000e-01
9   常用指标               每股净资产  2.655214e+00  2.437396e+00  2.335016e+00  2.149609e+00  2.304079e+00  2.151417e+00  2.093658e+00  1.937999e+00  2.081089e+00  1.945851e+00  1.992697e+00  1.835384e+00  2.283773e+00  2.204667e+00  2.092103e+00  1.972752e+00  1.818785e+00  2.131024e+00  2.061702e+00  1.955297e+00  2.041262e+00  1.957804e+00  1.849576e+00  1.797983e+00  1.760805e+00  1.941143e+00  1.899187e+00  1.851333e+00  2.046451e+00  1.972939e+00  1.926409e+00  2.669000e+00  4.411073e+00  4.197562e+00  3.789041e+00  3.348611e+00  3.079136e+00  3.403507e+00  3.228881e+00  3.137449e+00  3.376154e+00  3.265969e+00  3.176608e+00  3.080251e+00  2.396435e+00  2.289040e+00           NaN  2.046469e+00           NaN  2.295949e+00  1.784521e+00  1.831663e+00
10  常用指标               每股现金流  1.060270e-01  3.425950e-01  1.937920e-01  1.668210e-01  6.128000e-03  2.050070e-01  1.105170e-01  8.964000e-02  2.772000e-02  2.993690e-01  1.162830e-01  1.239610e-01  3.710500e-02  2.360930e-01  4.492250e-01  1.430880e-01  1.898400e-02  2.755680e-01  2.310380e-01  1.792160e-01 -3.808000e-03  1.025260e-01  7.239700e-02 -8.830000e-04 -2.616300e-02  3.843230e-01  2.549850e-01  1.346600e-01  7.617900e-02  3.287780e-01  2.568140e-01  2.126050e-01  7.821700e-02  4.694410e-01  3.326140e-01  2.382740e-01  1.032120e-01  5.445610e-01  3.259600e-01  2.079240e-01  1.415020e-01  4.800010e-01  2.428340e-01  1.517940e-01  6.046400e-02  6.442450e-01           NaN  2.588900e-01           NaN  6.488320e-01  7.100740e-01  3.035000e-01
11  常用指标         净资产收益率(ROE)  8.370000e+00  2.856000e+01  2.431000e+01  1.623000e+01  6.810000e+00  2.589000e+01  2.181000e+01  1.420000e+01  6.650000e+00  1.901000e+01  1.386000e+01  8.660000e+00  3.510000e+00  2.278000e+01  1.752000e+01  1.167000e+01  3.960000e+00  1.910000e+01  1.582000e+01  1.056000e+01  4.170000e+00  1.223000e+01  6.850000e+00  4.050000e+00  1.970000e+00  1.445000e+01  1.179000e+01  9.090000e+00  3.600000e+00  2.024000e+01  1.744000e+01  1.263000e+01  4.990000e+00  2.494000e+01  1.937000e+01  1.203000e+01  3.800000e+00  1.619000e+01  1.107000e+01  8.150000e+00  3.360000e+00  1.475000e+01  1.231000e+01  9.190000e+00  4.590000e+00  2.644000e+01  2.238000e+01  1.557000e+01  7.670000e+00  3.761000e+01  2.960000e+01  3.401000e+01
12  常用指标         总资产报酬率(ROA)  6.036077e+00  1.911685e+01  1.571972e+01  1.118072e+01  4.763453e+00  1.763231e+01  1.469005e+01  9.914327e+00  4.675381e+00  1.427121e+01  1.029930e+01  6.970328e+00  2.855056e+00  1.893031e+01  1.448013e+01  1.147913e+01  4.033778e+00  1.893753e+01  1.602285e+01  1.127103e+01  4.303103e+00  1.203879e+01  6.803906e+00  4.142543e+00  2.104632e+00  1.464828e+01  1.265879e+01  9.992804e+00  3.805519e+00  2.077588e+01  1.856550e+01  1.418111e+01  5.182841e+00  2.423789e+01  1.907577e+01  1.232976e+01  4.103824e+00  1.704839e+01  1.182523e+01  9.016299e+00  3.583543e+00  1.654750e+01  1.273032e+01  9.249502e+00  4.550407e+00  2.594279e+01           NaN  1.582228e+01           NaN  3.761059e+01  2.701109e+01  4.190679e+01
13  常用指标                 毛利率  4.759915e+01  4.337364e+01  4.405523e+01  4.340349e+01  4.044403e+01  4.186071e+01  4.255105e+01  4.233930e+01  4.292588e+01  3.932736e+01  3.921054e+01  3.920884e+01  4.030474e+01  4.053054e+01  4.113718e+01  4.149717e+01  4.047694e+01  4.115989e+01  4.179527e+01  4.093967e+01  3.955153e+01  4.154673e+01  4.164570e+01  4.193151e+01  4.499486e+01  4.641611e+01  4.672932e+01  4.704637e+01  4.509025e+01  4.893406e+01  4.986655e+01  5.060644e+01  5.055293e+01  5.232808e+01  5.280513e+01  5.305465e+01  5.226688e+01  5.217517e+01  5.202108e+01  5.167426e+01  5.152581e+01  5.105244e+01  5.162384e+01  5.194433e+01  5.338565e+01  5.403847e+01  5.458940e+01  5.564961e+01  5.841721e+01  5.099982e+01  5.294529e+01  5.676663e+01
14  常用指标               销售净利率  3.033429e+01  2.527662e+01  2.846600e+01  2.854076e+01  2.464308e+01  2.467404e+01  2.718408e+01  2.640463e+01  2.543368e+01  2.153891e+01  2.188757e+01  2.049060e+01  1.808867e+01  2.856101e+01  3.004780e+01  3.022881e+01  2.045781e+01  2.423459e+01  2.537080e+01  2.448815e+01  2.150082e+01  2.601423e+01  2.137582e+01  2.007428e+01  1.721759e+01  2.624758e+01  2.821156e+01  3.024525e+01  2.624817e+01  3.447752e+01  3.748583e+01  3.796258e+01  3.295880e+01  3.757819e+01  3.849427e+01  3.652646e+01  2.873034e+01  3.463336e+01  3.251123e+01  3.448210e+01  2.839413e+01  2.980838e+01  3.018728e+01  2.895850e+01  2.545711e+01  3.287743e+01  3.465446e+01  3.322720e+01  3.392018e+01  3.335099e+01  3.158586e+01  4.378891e+01
15  常用指标               期间费用率  1.318255e+01  1.420746e+01  1.354460e+01  1.317909e+01  1.367375e+01  1.598007e+01  1.410895e+01  1.415565e+01  1.581997e+01  1.679828e+01  1.671580e+01  1.746118e+01  2.033596e+01  1.675082e+01  1.647655e+01  1.670079e+01  1.815739e+01  1.599753e+01  1.553237e+01  1.429756e+01  1.604401e+01  2.116501e+01  2.359416e+01  2.686704e+01  2.770010e+01  2.175900e+01  2.034879e+01  1.936106e+01  2.368946e+01  1.760842e+01  1.525826e+01  1.443293e+01  1.841136e+01  1.578606e+01  1.446730e+01  1.485165e+01  2.040665e+01  1.902047e+01  1.996554e+01  1.958072e+01  2.161402e+01  2.145309e+01  2.066033e+01  2.036228e+01  2.376175e+01  1.916096e+01  1.805978e+01  1.723610e+01  1.930963e+01  1.436511e+01  1.849255e+01  1.468862e+01
16  常用指标               资产负债率  3.296276e+01  3.853267e+01  4.038399e+01  3.793270e+01  3.738908e+01  3.842990e+01  3.961569e+01  4.282626e+01  4.183475e+01  3.826714e+01  3.416893e+01  3.437268e+01  3.027450e+01  3.078098e+01  3.344077e+01  2.025351e+01  2.852769e+01  1.326300e+01  1.464122e+01  1.544565e+01  1.276712e+01  1.093351e+01  1.003107e+01  8.740110e+00  2.052700e+01  1.349858e+01  7.751175e+00  8.870083e+00  8.613883e+00  7.217593e+00  8.077523e+00  1.054510e+01  9.233388e+00  9.296990e+00  1.058859e+01  9.871008e+00  9.672067e+00  7.168199e+00  6.729168e+00  7.617188e+00  8.110182e+00  6.635650e+00  6.381146e+00  6.807860e+00  1.015445e+01  8.622271e+00           NaN  1.093196e+01           NaN  1.109555e+01  1.168636e+01  9.964220e+00
17  每股指标              基本每股收益  2.100000e-01  6.400000e-01  5.400000e-01  3.600000e-01  1.500000e-01  5.300000e-01  4.400000e-01  2.900000e-01  1.300000e-01  3.700000e-01  2.600000e-01  1.600000e-01  8.000000e-02  3.900000e-01  3.600000e-01  2.000000e-01  9.000000e-02  3.900000e-01  3.200000e-01  2.200000e-01  8.000000e-02  2.300000e-01  1.300000e-01  8.000000e-02  4.000000e-02  2.800000e-01  2.300000e-01  1.800000e-01  7.000000e-02  4.000000e-01  3.500000e-01  2.700000e-01  1.100000e-01  4.400000e-01  3.200000e-01  2.800000e-01  1.300000e-01  5.300000e-01  3.600000e-01  2.700000e-01  1.100000e-01  4.300000e-01  3.500000e-01  2.500000e-01  1.100000e-01  5.500000e-01  4.700000e-01  3.200000e-01  1.700000e-01  6.800000e-01  4.300000e-01  7.300000e-01
