COLS: ['选项', '指标', '20260331', '20251231', '20250930', '20250630', '20250331', '20241231', '20240930', '20240630', '20240331', '20231231', '20230930', '20230630', '20230331', '20221231', '20220930', '20220630', '20220331', '20211231', '20210930', '20210630', '20210331', '20201231', '20200930', '20200630', '20200331', '20191231', '20190930', '20190630', '20190331', '20181231', '20180930', '20180630', '20180331', '20171231', '20170930', '20170630', '20170331', '20161231', '20160930', '20160630', '20160331', '20151231', '20150930', '20150630', '20150331', '20141231', '20140930', '20140630', '20140331', '20131231', '20121231', '20111231']

      选项                  指标      20260331      20251231      20250930      20250630      20250331      20241231      20240930      20240630      20240331      20231231      20230930      20230630      20230331      20221231      20220930      20220630      20220331      20211231      20210930      20210630      20210331      20201231      20200930      20200630      20200331      20191231      20190930      20190630      20190331      20181231      20180930      20180630      20180331      20171231      20170930      20170630      20170331      20161231      20160930      20160630      20160331      20151231      20150930      20150630      20150331      20141231      20140930      20140630      20140331      20131231      20121231      20111231
29  每股指标             每股盈余公积金  4.073830e-01  4.073830e-01  3.568240e-01  3.568240e-01  3.592300e-01  3.592300e-01  3.198750e-01  3.198750e-01  3.198750e-01  3.198750e-01  2.870610e-01  2.870550e-01  3.444670e-01  3.444670e-01  2.999100e-01  2.999100e-01  2.999100e-01  2.999100e-01  2.617570e-01  2.617570e-01  2.617570e-01  2.617570e-01  2.372720e-01  2.372720e-01  2.372590e-01  2.372590e-01  2.101570e-01  2.101570e-01  2.098350e-01  2.098350e-01  1.794150e-01  2.601510e-01  3.642120e-01  3.642120e-01  2.624000e-01  2.645280e-01  2.645280e-01  2.645280e-01  2.184340e-01  2.184340e-01  2.184340e-01  2.184340e-01  1.898940e-01  1.898940e-01  2.143500e-01  2.143500e-01           NaN  1.577920e-01           NaN  1.735710e-01  1.056930e-01  5.924700e-02
30  每股指标              每股留存收益  1.580895e+00  1.367853e+00  1.269933e+00  1.089030e+00  1.238631e+00  1.086858e+00  1.003818e+00  8.499260e-01  9.938820e-01  8.601110e-01  7.571680e-01  6.584040e-01  1.072224e+00  9.934180e-01  8.807180e-01  7.619980e-01  6.086620e-01  9.225900e-01  8.539070e-01  7.486070e-01  8.377800e-01  7.543220e-01  6.502060e-01  5.986140e-01  5.615010e-01  7.428500e-01  6.964180e-01  6.485650e-01  8.392690e-01  7.669440e-01  7.194080e-01  9.190820e-01  1.957715e+00  1.743101e+00  1.536108e+00  1.281009e+00  1.010013e+00  1.333865e+00  1.161521e+00  1.071675e+00  1.311216e+00  1.199733e+00  1.115907e+00  1.012373e+00  1.377508e+00  1.270059e+00           NaN  1.038911e+00           NaN  1.289003e+00  7.731260e-01  8.280280e-01
31  每股指标              每股营业收入  7.505920e-01  2.688150e+00  1.995114e+00  1.328131e+00  6.537760e-01  2.279969e+00  1.725071e+00  1.179998e+00  5.794020e-01  1.832460e+00  1.271901e+00  8.427270e-01  4.613710e-01  1.728406e+00  1.230629e+00  8.071990e-01  4.301300e-01  1.628071e+00  1.286712e+00  8.945940e-01  4.014110e-01  8.989650e-01  6.052020e-01  3.791070e-01  2.253370e-01  1.050433e+00  8.037390e-01  5.903290e-01  2.758970e-01  1.165771e+00  9.443690e-01  1.024037e+00  6.520130e-01  2.327635e+00  1.717916e+00  1.090097e+00  4.413790e-01  1.542594e+00  1.113786e+00  7.881450e-01  3.923010e-01  1.390888e+00  1.094767e+00  7.847850e-01  4.204020e-01  1.675544e+00           NaN  9.595630e-01           NaN  2.263158e+00  1.519401e+00  1.835748e+00
32  每股指标             每股营业总收入  7.505920e-01  2.688150e+00  1.995114e+00  1.328131e+00  6.537760e-01  2.279969e+00  1.725071e+00  1.179998e+00  5.794020e-01  1.832460e+00  1.271901e+00  8.427270e-01  4.613710e-01  1.728406e+00  1.230629e+00  8.071990e-01  4.301300e-01  1.628071e+00  1.286712e+00  8.945940e-01  4.014110e-01  8.989650e-01  6.052020e-01  3.791070e-01  2.253370e-01  1.050433e+00  8.037390e-01  5.903290e-01  2.758970e-01  1.165771e+00  9.443690e-01  1.024037e+00  6.520130e-01  2.327635e+00  1.717916e+00  1.090097e+00  4.413790e-01  1.542594e+00  1.113786e+00  7.881450e-01  3.923010e-01  1.390888e+00  1.094767e+00  7.847850e-01  4.204020e-01  1.675544e+00           NaN  9.595630e-01           NaN  2.263158e+00  1.519401e+00  1.835748e+00
33  每股指标             每股息税前利润  2.673740e-01  8.039650e-01  6.565800e-01  4.406390e-01  1.932650e-01  6.635390e-01  5.470020e-01  3.666100e-01  1.767480e-01  4.543250e-01  3.188840e-01  2.019750e-01  9.789100e-02  5.585580e-01  4.232600e-01  2.905890e-01  1.036330e-01  4.507940e-01  3.777940e-01  2.589670e-01  9.938400e-02  2.710660e-01  1.483270e-01  8.850400e-02  4.739700e-02  3.224400e-01  2.674410e-01  2.097490e-01  8.386300e-02  4.621050e-01  4.100670e-01  4.502880e-01  2.481550e-01  1.008539e+00  7.593840e-01  4.604030e-01  1.469400e-01  6.178440e-01  4.164640e-01  3.145710e-01  1.300130e-01  4.800050e-01  3.625690e-01  2.593940e-01  1.198740e-01  6.423850e-01           NaN  3.753970e-01           NaN  8.869520e-01  5.612390e-01  8.709420e-01
34  盈利能力         净资产收益率(ROE)  8.370000e+00  2.856000e+01  2.431000e+01  1.623000e+01  6.810000e+00  2.589000e+01  2.181000e+01  1.420000e+01  6.650000e+00  1.901000e+01  1.386000e+01  8.660000e+00  3.510000e+00  2.278000e+01  1.752000e+01  1.167000e+01  3.960000e+00  1.910000e+01  1.582000e+01  1.056000e+01  4.170000e+00  1.223000e+01  6.850000e+00  4.050000e+00  1.970000e+00  1.445000e+01  1.179000e+01  9.090000e+00  3.600000e+00  2.024000e+01  1.744000e+01  1.263000e+01  4.990000e+00  2.494000e+01  1.937000e+01  1.203000e+01  3.800000e+00  1.619000e+01  1.107000e+01  8.150000e+00  3.360000e+00  1.475000e+01  1.231000e+01  9.190000e+00  4.590000e+00  2.644000e+01  2.238000e+01  1.557000e+01  7.670000e+00  3.761000e+01  2.960000e+01  3.401000e+01
35  盈利能力            摊薄净资产收益率  8.023530e+00  2.609062e+01  2.304101e+01  1.661271e+01  6.587154e+00  2.448369e+01  2.119289e+01  1.495434e+01  6.427941e+00  1.878785e+01  1.318092e+01  8.929327e+00  3.450725e+00  2.135595e+01  1.711811e+01  1.213576e+01  4.732401e+00  1.817178e+01  1.550103e+01  1.095919e+01  4.088549e+00  1.182161e+01  6.884168e+00  4.212232e+00  2.195061e+00  1.415881e+01  1.191287e+01  9.635982e+00  3.534148e+00  2.031915e+01  1.834234e+01  1.454835e+01  4.865346e+00  2.080064e+01  1.740159e+01  1.185998e+01  4.096868e+00  1.569356e+01  1.120475e+01  8.667598e+00  3.302056e+00  1.269395e+01  1.041218e+01  7.376675e+00  4.483713e+00  2.414914e+01           NaN  1.571663e+01           NaN  3.251084e+01  2.630416e+01  4.386579e+01
36  盈利能力           净资产收益率_平均  8.366708e+00  2.780393e+01  2.406121e+01  1.666155e+01  6.812853e+00  2.571207e+01  2.196834e+01  1.492411e+01  6.643813e+00  1.932712e+01  1.371584e+01  8.924855e+00  3.511541e+00  2.171869e+01  1.696035e+01  1.166771e+01  4.358296e+00  1.892428e+01  1.590171e+01  1.095217e+01  4.173874e+00  1.187181e+01  6.717691e+00  4.050845e+00  2.088130e+00  1.407643e+01  1.168597e+01  9.329573e+00  3.598785e+00  1.984231e+01  1.769320e+01  1.370311e+01  4.986016e+00  2.313634e+01  1.840440e+01  1.176356e+01  3.891873e+00  1.601719e+01  1.114077e+01  8.493635e+00  3.356834e+00  1.566274e+01  1.271036e+01  8.896419e+00  4.586483e+00  2.526279e+01           NaN  1.556166e+01           NaN  3.658560e+01  2.596126e+01  4.386579e+01
37  盈利能力   净资产收益率_平均_扣除非经常损益  8.198040e+00  2.843696e+01  2.466483e+01  1.669175e+01  6.967198e+00  2.579606e+01  2.191357e+01  1.493006e+01  6.422047e+00  1.890777e+01  1.325881e+01  8.723644e+00  3.431627e+00  1.712448e+01  1.280099e+01  8.462934e+00  4.320039e+00  1.797872e+01  1.522249e+01  1.050596e+01  4.056023e+00  8.322283e+00  5.276583e+00  3.002058e+00  1.630054e+00  1.214349e+01  1.015550e+01  7.830306e+00  2.842770e+00  1.716078e+01  1.556544e+01  1.207575e+01  4.437956e+00  2.044741e+01  1.653043e+01  1.111411e+01  3.664528e+00  1.391324e+01  9.860979e+00  7.370390e+00  2.981859e+00  1.470185e+01  1.245999e+01  8.896705e+00  4.594045e+00  2.507139e+01           NaN  1.540281e+01           NaN  3.643830e+01  2.577628e+01  4.375631e+01
38  盈利能力    摊薄净资产收益率_扣除非经常损益  7.861780e+00  2.668465e+01  2.361903e+01  1.664282e+01  6.736386e+00  2.456366e+01  2.114005e+01  1.496030e+01  6.213381e+00  1.838021e+01  1.274171e+01  8.728014e+00  3.372194e+00  1.683848e+01  1.292007e+01  8.802421e+00  4.690860e+00  1.726381e+01  1.483892e+01  1.051269e+01  3.973107e+00  8.287094e+00  5.407346e+00  3.121661e+00  1.713527e+00  1.221455e+01  1.035268e+01  8.087475e+00  2.791711e+00  1.757318e+01  1.613651e+01  1.282061e+01  4.330550e+00  1.838318e+01  1.562973e+01  1.120521e+01  3.857547e+00  1.363212e+01  9.917611e+00  7.521347e+00  2.933201e+00  1.191519e+01  1.020708e+01  7.376913e+00  4.491105e+00  2.396618e+01           NaN           NaN           NaN  3.237994e+01  2.611674e+01           NaN
39  盈利能力              息税前利润率  3.562176e+01  2.990776e+01  3.290941e+01  3.317737e+01  2.956138e+01  2.910299e+01  3.170900e+01  3.106871e+01  3.050528e+01  2.479317e+01  2.507150e+01  2.396690e+01  2.121758e+01  3.231637e+01  3.439381e+01  3.599965e+01  2.409349e+01  2.768884e+01  2.936123e+01  2.894805e+01  2.475886e+01  3.015318e+01  2.450870e+01  2.334535e+01  2.103408e+01  3.069596e+01  3.327463e+01  3.553091e+01  3.039655e+01  3.963943e+01  4.342233e+01  4.397188e+01  3.805991e+01  4.332893e+01  4.420385e+01  4.223511e+01  3.329119e+01  4.005233e+01  3.739179e+01  3.991290e+01  3.314124e+01  3.451075e+01  3.311845e+01  3.305293e+01  2.851425e+01  3.833888e+01  3.991196e+01  3.912173e+01  3.958775e+01  3.919092e+01  3.693816e+01  4.744345e+01
40  盈利能力              总资产报酬率  6.036077e+00  1.911685e+01  1.571972e+01  1.118072e+01  4.763453e+00  1.763231e+01  1.469005e+01  9.914327e+00  4.675381e+00  1.427121e+01  1.029930e+01  6.970328e+00  2.855056e+00  1.893031e+01  1.448013e+01  1.147913e+01  4.033778e+00  1.893753e+01  1.602285e+01  1.127103e+01  4.303103e+00  1.203879e+01  6.803906e+00  4.142543e+00  2.104632e+00  1.464828e+01  1.265879e+01  9.992804e+00  3.805519e+00  2.077588e+01  1.856550e+01  1.418111e+01  5.182841e+00  2.423789e+01  1.907577e+01  1.232976e+01  4.103824e+00  1.704839e+01  1.182523e+01  9.016299e+00  3.583543e+00  1.654750e+01  1.273032e+01  9.249502e+00  4.550407e+00  2.594279e+01           NaN  1.582228e+01           NaN  3.761059e+01  2.701109e+01  4.190679e+01
41  盈利能力              总资本回报率  8.992714e+00  2.769385e+01  2.234118e+01  1.611273e+01  6.706433e+00  2.518615e+01  2.086775e+01  1.440315e+01  6.715241e+00  2.058579e+01  1.396464e+01  9.428626e+00  4.124780e+00  2.487960e+01  1.928916e+01  1.365744e+01  5.204402e+00  2.193885e+01  1.871563e+01  1.322875e+01  4.967000e+00  1.356064e+01  7.626829e+00  4.611961e+00  2.478874e+00  1.610676e+01  1.381367e+01  1.096938e+01  4.172930e+00  2.287250e+01  2.053328e+01  1.589088e+01  5.765274e+00  2.672474e+01  2.119656e+01  1.363731e+01  4.533352e+00  1.852754e+01  1.282446e+01  9.825115e+00  3.914821e+00  1.813450e+01  1.393299e+01  1.015615e+01  5.116863e+00  2.935767e+01           NaN  1.816282e+01           NaN  4.347305e+01  3.104040e+01  4.754926e+01
42  盈利能力             投入资本回报率  7.355988e+00  2.277794e+01  1.896291e+01  1.352498e+01  5.484971e+00  2.094623e+01  1.764159e+01  1.186776e+01  5.289444e+00  1.710657e+01  1.170040e+01  7.843517e+00  3.347153e+00  2.107196e+01  1.641436e+01  1.137661e+01  4.329394e+00  1.888080e+01  1.583549e+01  1.098050e+01  4.066731e+00  1.157844e+01  6.434114e+00  3.946575e+00  2.014457e+00  1.382009e+01  1.174467e+01  9.329573e+00  3.575791e+00  1.986465e+01  1.771580e+01  1.370311e+01  4.948091e+00  2.313671e+01  1.834602e+01  1.176387e+01  3.874229e+00  1.601820e+01  1.104951e+01  8.493635e+00  3.332721e+00  1.566274e+01  1.220877e+01  8.896419e+00  4.474882e+00  2.526279e+01           NaN  1.554087e+01           NaN  3.658560e+01  2.596126e+01  4.369798e+01
43  盈利能力       息前税后总资产报酬率_平均  5.268095e+00  1.675878e+01  1.405898e+01  9.942030e+00  4.126014e+00  1.561572e+01  1.309675e+01  8.757548e+00  4.042234e+00  1.277358e+01  9.137486e+00  6.101938e+00  2.452402e+00  1.680665e+01  1.272056e+01  9.743746e+00  3.430433e+00  1.660498e+01  1.384822e+01  9.563754e+00  3.736854e+00  1.038630e+01  5.934180e+00  3.562105e+00  1.722761e+00  1.260822e+01  1.078643e+01  8.506253e+00  3.286159e+00  1.809070e+01  1.604775e+01  1.224308e+01  4.488193e+00  2.102131e+01  1.661185e+01  1.066351e+01  3.541605e+00  1.474272e+01  1.028174e+01  7.789484e+00  3.070241e+00  1.429277e+01  1.160362e+01  8.103720e+00  4.062537e+00  2.224719e+01           NaN  1.343832e+01           NaN  3.200614e+01  2.309721e+01  3.867873e+01
44  盈利能力                 毛利率  4.759915e+01  4.337364e+01  4.405523e+01  4.340349e+01  4.044403e+01  4.186071e+01  4.255105e+01  4.233930e+01  4.292588e+01  3.932736e+01  3.921054e+01  3.920884e+01  4.030474e+01  4.053054e+01  4.113718e+01  4.149717e+01  4.047694e+01  4.115989e+01  4.179527e+01  4.093967e+01  3.955153e+01  4.154673e+01  4.164570e+01  4.193151e+01  4.499486e+01  4.641611e+01  4.672932e+01  4.704637e+01  4.509025e+01  4.893406e+01  4.986655e+01  5.060644e+01  5.055293e+01  5.232808e+01  5.280513e+01  5.305465e+01  5.226688e+01  5.217517e+01  5.202108e+01  5.167426e+01  5.152581e+01  5.105244e+01  5.162384e+01  5.194433e+01  5.338565e+01  5.403847e+01  5.458940e+01  5.564961e+01  5.841721e+01  5.099982e+01  5.294529e+01  5.676663e+01
45  盈利能力               销售净利率  3.033429e+01  2.527662e+01  2.846600e+01  2.854076e+01  2.464308e+01  2.467404e+01  2.718408e+01  2.640463e+01  2.543368e+01  2.153891e+01  2.188757e+01  2.049060e+01  1.808867e+01  2.856101e+01  3.004780e+01  3.022881e+01  2.045781e+01  2.423459e+01  2.537080e+01  2.448815e+01  2.150082e+01  2.601423e+01  2.137582e+01  2.007428e+01  1.721759e+01  2.624758e+01  2.821156e+01  3.024525e+01  2.624817e+01  3.447752e+01  3.748583e+01  3.796258e+01  3.295880e+01  3.757819e+01  3.849427e+01  3.652646e+01  2.873034e+01  3.463336e+01  3.251123e+01  3.448210e+01  2.839413e+01  2.980838e+01  3.018728e+01  2.895850e+01  2.545711e+01  3.287743e+01  3.465446e+01  3.322720e+01  3.392018e+01  3.335099e+01  3.158586e+01  4.378891e+01
46  盈利能力             成本费用利润率  5.316364e+01  4.089254e+01  4.596786e+01  4.617144e+01  3.905374e+01  3.778030e+01  4.279510e+01  4.181450e+01  4.055850e+01  3.116103e+01  3.188913e+01  3.000100e+01  2.634100e+01  4.222805e+01  4.543070e+01  4.743276e+01  3.097503e+01  3.694002e+01  3.981131e+01  3.935916e+01  3.304728e+01  3.787218e+01  3.035040e+01  2.748596e+01  2.550396e+01  4.051158e+01  4.500606e+01  4.913373e+01  3.888594e+01  5.766448e+01  6.633033e+01  6.889284e+01  5.645617e+01  6.827876e+01  7.188458e+01  6.834334e+01  4.904737e+01  5.991467e+01  5.542452e+01  5.877629e+01  4.757629e+01  4.902051e+01  4.969937e+01  4.831033e+01  4.140065e+01  5.887195e+01  6.307176e+01  6.359598e+01  6.509302e+01  6.184919e+01  5.635347e+01  8.219830e+01
47  盈利能力               营业利润率  3.483385e+01  2.894786e+01  3.179231e+01  3.202151e+01  2.852177e+01  2.786270e+01  3.041171e+01  2.988957e+01  2.929219e+01  2.370505e+01  2.411568e+01  2.346128e+01  2.109540e+01  3.155628e+01  3.342472e+01  3.449864e+01  2.401445e+01  2.738278e+01  2.904088e+01  2.843980e+01  2.515650e+01  2.831890e+01  2.299408e+01  2.129908e+01  1.752816e+01  2.953475e+01  3.189198e+01  3.384523e+01  2.736531e+01  3.824152e+01  4.226264e+01  4.392844e+01  3.829416e+01  4.270561e+01  4.402587e+01  4.191086e+01  3.130275e+01  3.581981e+01  3.450903e+01  3.603958e+01  3.201812e+01  2.999435e+01  3.004291e+01  3.012805e+01  2.806392e+01  3.342866e+01  3.518281e+01  3.656785e+01  3.685202e+01  3.438710e+01  3.275764e+01  4.152983e+01
48  盈利能力           总资产净利率_平均  4.809501e+00  1.512131e+01  1.288096e+01  9.061216e+00  3.740788e+00  1.399730e+01  1.191597e+01  7.837534e+00  3.538543e+00  1.148367e+01  8.483220e+00  5.655874e+00  2.298429e+00  1.595700e+01  1.225192e+01  9.457347e+00  3.350237e+00  1.626788e+01  1.355409e+01  9.326298e+00  3.613512e+00  1.027904e+01  5.840650e+00  3.544883e+00  1.716236e+00  1.248594e+01  1.070898e+01  8.498985e+00  3.281925e+00  1.802345e+01  1.599760e+01  1.222873e+01  4.482306e+00  2.098340e+01  1.656297e+01  1.063566e+01  3.523124e+00  1.473845e+01  1.027273e+01  7.794428e+00  3.072774e+00  1.429205e+01  1.161323e+01  8.102227e+00  4.078743e+00  2.232423e+01           NaN  1.355632e+01           NaN  3.165193e+01  2.259126e+01  3.866042e+01
49  盈利能力  总资产净利率_平均(含少数股东损益)  5.140120e+00  1.615665e+01  1.359725e+01  9.618185e+00  3.970930e+00  1.494899e+01  1.259376e+01  8.425976e+00  3.898085e+00  1.239803e+01  8.991346e+00  5.959313e+00  2.434026e+00  1.673049e+01  1.265042e+01  9.639000e+00  3.425085e+00  1.657503e+01  1.384521e+01  9.534553e+00  3.736854e+00  1.038630e+01  5.934180e+00  3.562105e+00  1.722761e+00  1.252549e+01  1.073263e+01  8.506253e+00  3.286159e+00  1.807041e+01  1.602731e+01  1.224308e+01  4.488193e+00  2.102097e+01  1.661185e+01  1.066323e+01  3.541605e+00  1.474179e+01  1.028174e+01  7.789484e+00  3.070241e+00  1.429277e+01  1.160362e+01  8.103720e+00  4.062537e+00  2.224719e+01           NaN  1.343832e+01           NaN  3.200614e+01  2.309721e+01  3.867873e+01
50  成长能力               归母净利润  2.378943e+08  7.101163e+08  6.007730e+08  3.987668e+08  1.683431e+08  5.842539e+08  4.921482e+08  3.214555e+08  1.483757e+08  4.054962e+08  2.913312e+08  1.817840e+08  7.284370e+07  4.352018e+08  3.310302e+08  2.212932e+08  7.955942e+07  3.579436e+08  2.959683e+08  1.984494e+08  7.729061e+07  2.143407e+08  1.179186e+08  7.013854e+07  3.579648e+07  2.545461e+08  2.085757e+08  1.644599e+08  6.667540e+07  3.695717e+08  3.257488e+08  2.468731e+08  9.746338e+07  3.965130e+08  2.971210e+08  1.775237e+08  5.638823e+07  2.387567e+08  1.617193e+08  1.215579e+08  4.983270e+07  1.853175e+08  1.478471e+08  1.015674e+08  4.254992e+07  2.189023e+08  1.841409e+08  1.273679e+08  6.655189e+07  2.687157e+08  1.689853e+08  2.892505e+08
51  成长能力               营业总收入  8.381531e+08  3.001736e+09  2.227854e+09  1.483065e+09  7.251526e+08  2.528885e+09  1.913406e+09  1.308825e+09  6.426586e+08  2.032519e+09  1.410761e+09  9.347538e+08  4.264613e+08  1.597624e+09  1.137512e+09  7.461217e+08  3.975835e+08  1.504881e+09  1.191627e+09  8.284854e+08  3.717478e+08  8.325333e+08  5.604788e+08  3.510925e+08  2.086968e+08  9.728608e+08  7.409603e+08  5.442195e+08  2.543469e+08  1.074714e+09  8.706059e+08  6.510697e+08  2.961011e+08  1.057057e+09  7.741357e+08  4.872735e+08  1.972967e+08  6.895396e+08  4.978624e+08  3.523009e+08  1.753589e+08  6.217270e+08  4.893610e+08  3.507990e+08  1.664795e+08  6.635157e+08  5.281017e+08  3.799872e+08  1.941666e+08  8.147371e+08  5.469846e+08  6.608693e+08
52  成长能力                 净利润  2.542478e+08  7.587373e+08  6.341810e+08  4.232779e+08  1.787000e+08  6.239780e+08  5.201418e+08  3.455904e+08  1.634517e+08  4.377825e+08  3.087813e+08  1.915367e+08  7.714117e+07  4.562975e+08  3.417972e+08  2.255437e+08  8.133686e+07  3.647018e+08  3.023253e+08  2.028808e+08  7.992882e+07  2.165772e+08  1.198069e+08  7.047930e+07  3.593257e+07  2.553524e+08  2.090365e+08  1.646006e+08  6.676142e+07  3.705346e+08  3.263538e+08  2.471629e+08  9.759138e+07  3.972228e+08  2.979979e+08  1.779838e+08  5.668402e+07  2.388107e+08  1.618612e+08  1.214807e+08  4.979163e+07  1.853268e+08  1.477248e+08  1.015861e+08  4.238087e+07  2.181469e+08  1.830108e+08  1.262591e+08  6.586167e+07  2.717229e+08  1.727698e+08  2.893875e+08
53  成长能力               扣非净利润  2.330985e+08  7.262840e+08  6.158445e+08  3.994895e+08  1.721569e+08  5.861623e+08  4.909213e+08  3.215837e+08  1.434230e+08  3.966980e+08  2.816236e+08  1.776856e+08  7.118595e+07  3.431426e+08  2.498484e+08  1.605105e+08  7.886105e+07  3.400587e+08  2.833264e+08  1.903643e+08  7.510828e+07  1.502554e+08  9.262220e+07  5.197927e+07  2.794375e+07  2.195923e+08  1.812592e+08  1.380311e+08  5.266856e+07  3.196271e+08  2.865746e+08  2.175549e+08  8.675027e+07  3.504299e+08  2.668676e+08  1.677228e+08  5.309429e+07  2.073947e+08  1.431419e+08  1.054824e+08  4.426615e+07  1.739485e+08  1.449348e+08  1.015707e+08  4.262007e+07  2.172439e+08  1.826126e+08  1.260677e+08  6.581258e+07  2.676338e+08  1.677812e+08  2.885286e+08
54  成长能力            营业总收入增长率  1.558300e+01  1.869800e+01  1.643397e+01  1.331270e+01  1.283636e+01  2.442120e+01  3.562933e+01  4.001814e+01  5.069564e+01  2.722137e+01  2.402168e+01  2.528167e+01  7.263328e+00  6.162805e+00 -4.541283e+00 -9.941481e+00  6.949805e+00  8.075926e+01  1.126087e+02  1.359736e+02  7.812813e+01 -1.442421e+01 -2.435779e+01 -3.548697e+01 -1.794796e+01 -9.477206e+00 -1.489142e+01 -1.641149e+01 -1.410133e+01  1.670363e+00  1.246166e+01  3.361485e+01  5.007910e+01  5.329895e+01  5.549191e+01  3.831173e+01  1.251025e+01  1.090713e+01  1.737230e+00  4.281390e-01  5.333615e+00 -6.298067e+00 -7.335829e+00 -7.681364e+00 -1.425947e+01 -1.856076e+01           NaN           NaN           NaN  4.895063e+01 -1.723256e+01           NaN
55  成长能力         归属母公司净利润增长率  4.131517e+01  2.154241e+01  2.207157e+01  2.405036e+01  1.345732e+01  4.408371e+01  6.893081e+01  7.683383e+01  1.036905e+02 -6.825711e+00 -1.199257e+01 -1.785380e+01 -8.441142e+00  2.158392e+01  1.184653e+01  1.151113e+01  2.935431e+00  6.699749e+01  1.509937e+02  1.829392e+02  1.159168e+02 -1.579495e+01 -4.346482e+01 -5.735220e+01 -4.631232e+01 -3.112403e+01 -3.597040e+01 -3.338281e+01 -3.158928e+01 -6.794544e+00  9.635076e+00  3.906492e+01  7.284347e+01  6.607405e+01  8.372632e+01  4.604046e+01  1.315508e+01  2.883660e+01  9.382804e+00  1.968194e+01  1.711583e+01 -1.534239e+01 -1.970977e+01 -2.025664e+01 -3.606504e+01 -1.853757e+01           NaN           NaN           NaN  5.901724e+01 -4.157822e+01           NaN
56  收益质量        经营活动净现金/销售收入  1.412580e-01  1.274460e-01  9.713300e-02  1.256050e-01  9.374000e-03  8.991600e-02  6.406500e-02  7.596600e-02  4.784300e-02  1.633700e-01  9.142400e-02  1.470950e-01  8.042500e-02  1.365950e-01  3.650370e-01  1.772650e-01  4.413500e-02  1.692600e-01  1.795560e-01  2.003320e-01 -9.487000e-03  1.140490e-01  1.196250e-01 -2.331000e-03 -1.161080e-01  3.658710e-01  3.172480e-01  2.281100e-01  2.761170e-01  2.820260e-01  2.719420e-01  2.076140e-01  1.199620e-01  2.016810e-01  1.936150e-01  2.185810e-01  2.338400e-01  3.530160e-01  2.926590e-01  2.638140e-01  3.606970e-01  3.451040e-01  2.218130e-01  1.934220e-01  1.438260e-01  3.844990e-01  3.602900e-01  2.698000e-01  7.512300e-02  2.866930e-01  4.673380e-01  1.653280e-01
57  收益质量      经营性现金净流量/营业总收入  1.412580e-01  1.274460e-01  9.713300e-02  1.256050e-01  9.374000e-03  8.991600e-02  6.406500e-02  7.596600e-02  4.784300e-02  1.633700e-01  9.142400e-02  1.470950e-01  8.042500e-02  1.365950e-01  3.650370e-01  1.772650e-01  4.413500e-02  1.692600e-01  1.795560e-01  2.003320e-01 -9.487000e-03  1.140490e-01  1.196250e-01 -2.331000e-03 -1.161080e-01  3.658710e-01  3.172480e-01  2.281100e-01  2.761170e-01  2.820260e-01  2.719420e-01  2.076140e-01  1.199620e-01  2.016810e-01  1.936150e-01  2.185810e-01  2.338400e-01  3.530160e-01  2.926590e-01  2.638140e-01  3.606970e-01  3.451040e-01  2.218130e-01  1.934220e-01  1.438260e-01  3.844990e-01  3.602900e-01  2.698000e-01  7.512300e-02  2.866930e-01  4.673380e-01  1.653280e-01
58  收益质量               成本费用率  6.558340e+01  7.083383e+01  6.948937e+01  6.977560e+01  7.322972e+01  7.411936e+01  7.155790e+01  7.181635e+01  7.289409e+01  7.747091e+01  7.750526e+01  7.825235e+01  8.003122e+01  7.622028e+01  7.533937e+01  7.520362e+01  7.768045e+01  7.483764e+01  7.373710e+01  7.335789e+01  7.649248e+01  7.961828e+01  8.194845e+01  8.493553e+01  8.270524e+01  7.534289e+01  7.361947e+01  7.231469e+01  7.859922e+01  6.867436e+01  6.539171e+01  6.382649e+01  6.785843e+01  6.345799e+01  6.166217e+01  6.179700e+01  6.813977e+01  6.684530e+01  6.794446e+01  6.790646e+01  7.008821e+01  7.040064e+01  6.903649e+01  6.841795e+01  7.037610e+01  6.512250e+01  6.347038e+01  6.158649e+01  6.089243e+01  6.336529e+01  6.554726e+01  5.792199e+01
59  收益质量               期间费用率  1.318255e+01  1.420746e+01  1.354460e+01  1.317909e+01  1.367375e+01  1.598007e+01  1.410895e+01  1.415565e+01  1.581997e+01  1.679828e+01  1.671580e+01  1.746118e+01  2.033596e+01  1.675082e+01  1.647655e+01  1.670079e+01  1.815739e+01  1.599753e+01  1.553237e+01  1.429756e+01  1.604401e+01  2.116501e+01  2.359416e+01  2.686704e+01  2.770010e+01  2.175900e+01  2.034879e+01  1.936106e+01  2.368946e+01  1.760842e+01  1.525826e+01  1.443293e+01  1.841136e+01  1.578606e+01  1.446730e+01  1.485165e+01  2.040665e+01  1.902047e+01  1.996554e+01  1.958072e+01  2.161402e+01  2.145309e+01  2.066033e+01  2.036228e+01  2.376175e+01  1.916096e+01  1.805978e+01  1.723610e+01  1.930963e+01  1.436511e+01  1.849255e+01  1.468862e+01
